,ticker,CIK,end,frame,ComprehensiveIncomeNetOfTax
121,LPLA,0001397911,2020-03-31,CY2020Q1,155641000.0
125,LPLA,0001397911,2020-06-30,CY2020Q2,101662000.0
129,LPLA,0001397911,2020-09-30,CY2020Q3,103789000.0
132,LPLA,0001397911,2021-03-31,CY2021Q1,129620000.0
134,LPLA,0001397911,2021-06-30,CY2021Q2,119101000.0
136,LPLA,0001397911,2021-09-30,CY2021Q3,103064000.0
120,BAC,0000070858,2020-03-31,CY2020Q1,10523000000.0
124,BAC,0000070858,2020-06-30,CY2020Q2,2491000000.0
128,BAC,0000070858,2020-09-30,CY2020Q3,5065000000.0
131,BAC,0000070858,2021-03-31,CY2021Q1,6234000000.0
133,BAC,0000070858,2021-06-30,CY2021Q2,9633000000.0
135,BAC,0000070858,2021-09-30,CY2021Q3,7158000000.0
153,GS,0000886982,2020-03-31,CY2020Q1,4634000000.0
157,GS,0000886982,2020-06-30,CY2020Q2,-1905000000.0
161,GS,0000886982,2020-09-30,CY2020Q3,3073000000.0
164,GS,0000886982,2021-03-31,CY2021Q1,6196000000.0
166,GS,0000886982,2021-06-30,CY2021Q2,5671000000.0
168,GS,0000886982,2021-09-30,CY2021Q3,5311000000.0
118,IVZ,0000914208,2020-03-31,CY2020Q1,-236700000.0
122,IVZ,0000914208,2020-06-30,CY2020Q2,130000000.0
126,IVZ,0000914208,2020-09-30,CY2020Q3,359800000.0
128,IVZ,0000914208,2021-03-31,CY2021Q1,264600000.0
130,IVZ,0000914208,2021-06-30,CY2021Q2,406200000.0
132,IVZ,0000914208,2021-09-30,CY2021Q3,222600000.0
106,FICO,0000814547,2020-03-31,CY2020Q1,39232000.0
110,FICO,0000814547,2020-06-30,CY2020Q2,64908000.0
114,FICO,0000814547,2020-12-31,CY2020Q4,103540000.0
116,FICO,0000814547,2021-03-31,CY2021Q1,66828000.0
118,FICO,0000814547,2021-06-30,CY2021Q2,155441000.0
79,MTB,0000036270,2020-03-31,CY2020Q1,685335000.0
83,MTB,0000036270,2020-06-30,CY2020Q2,275851000.0
87,MTB,0000036270,2020-09-30,CY2020Q3,303009000.0
90,MTB,0000036270,2021-03-31,CY2021Q1,371803000.0
92,MTB,0000036270,2021-06-30,CY2021Q2,419573000.0
94,MTB,0000036270,2021-09-30,CY2021Q3,462015000.0
140,FNMA,0000310522,2020-03-31,CY2020Q1,476000000.0
144,FNMA,0000310522,2020-06-30,CY2020Q2,2532000000.0
148,FNMA,0000310522,2020-09-30,CY2020Q3,4216000000.0
151,FNMA,0000310522,2021-03-31,CY2021Q1,4966000000.0
153,FNMA,0000310522,2021-06-30,CY2021Q2,7120000000.0
155,FNMA,0000310522,2021-09-30,CY2021Q3,4828000000.0
102,FMCC,0001026214,2020-03-31,CY2020Q1,622000000.0
106,FMCC,0001026214,2020-06-30,CY2020Q2,1938000000.0
110,FMCC,0001026214,2020-09-30,CY2020Q3,2449000000.0
113,FMCC,0001026214,2021-03-31,CY2021Q1,2378000000.0
115,FMCC,0001026214,2021-06-30,CY2021Q2,3611000000.0
117,FMCC,0001026214,2021-09-30,CY2021Q3,2909000000.0
111,USB,0000036104,2020-03-31,CY2020Q1,3047000000.0
115,USB,0000036104,2020-06-30,CY2020Q2,984000000.0
119,USB,0000036104,2020-09-30,CY2020Q3,1394000000.0
122,USB,0000036104,2021-03-31,CY2021Q1,-137000000.0
124,USB,0000036104,2021-06-30,CY2021Q2,2875000000.0
126,USB,0000036104,2021-09-30,CY2021Q3,1438000000.0
145,COF,0000927628,2020-03-31,CY2020Q1,1191000000.0
153,COF,0000927628,2020-06-30,CY2020Q2,-616000000.0
159,COF,0000927628,2020-09-30,CY2020Q3,2258000000.0
162,COF,0000927628,2021-03-31,CY2021Q1,1614000000.0
166,COF,0000927628,2021-06-30,CY2021Q2,3545000000.0
169,COF,0000927628,2021-09-30,CY2021Q3,2672000000.0
0,TRI,0001075124,,,
0,MCI,0000275694,,,
144,GNW,0001276520,2020-03-31,CY2020Q1,316000000.0
148,GNW,0001276520,2020-06-30,CY2020Q2,191000000.0
152,GNW,0001276520,2020-09-30,CY2020Q3,112000000.0
155,GNW,0001276520,2021-03-31,CY2021Q1,-563000000.0
157,GNW,0001276520,2021-06-30,CY2021Q2,399000000.0
159,GNW,0001276520,2021-09-30,CY2021Q3,306000000.0
